,Date,Team,Acquired,Relinquished,Notes
14380,2009-10-31,Wizards,,Caron Butler,placed on IL with bruised left kneecap
14381,2009-10-31,Wizards,Paul Davis,,activated from IL
14382,2009-11-01,,,Wally Szczerbiak,surgery on left knee (date approximate)
14383,2009-11-01,Heat,,Daequan Cook,placed on IL with strained right shoulder
14384,2009-11-01,Heat,James Jones ,,activated from IL
14385,2009-11-01,Magic,,Mickael Pietrus,illness (DNP)
14386,2009-11-01,Magic,,Vince Carter,sprained left ankle (DNP)
14387,2009-11-01,Raptors,,Marcus Banks,placed on IL
14388,2009-11-01,Raptors,Sonny Weems,,activated from IL
14389,2009-11-02,Bobcats,,Derrick Brown,placed on IL
14390,2009-11-02,Bobcats,Raja Bell,,activated from IL
14391,2009-11-02,Bucks,,Michael Redd,strained tendon in left knee (out indefinitely)
14392,2009-11-02,Clippers,,Steve Novak,placed on IL
14393,2009-11-02,Clippers,Ricky Davis,,activated from IL
14394,2009-11-02,Grizzlies,,Hamed Haddadi,placed on IL
14395,2009-11-02,Grizzlies,Allen Iverson,,activated from IL
14396,2009-11-02,Jazz,,Kyle Korver,recovering from surgery on left knee to remove bone spur (DNP)
14397,2009-11-02,Jazz,Mehmet Okur,,returned to lineup
14398,2009-11-02,Kings,Kenny Thomas,,activated from IL (date 11-04 per P)
14399,2009-11-02,Knicks,,Nate Robinson,sprained right ankle (DNP)
14400,2009-11-02,Nets,,Devin Harris,strained right groin (DNP)
14401,2009-11-03,Bucks,,Michael Redd,placed on IL with strained tendon in left knee
14402,2009-11-03,Bucks,Jodie Meeks,,activated from IL
14403,2009-11-03,Bulls,,Tyrus Thomas,flu-like symptoms (DNP)
14404,2009-11-03,Celtics,Brian Scalabrine,,returned to lineup
14405,2009-11-03,Jazz,,Kyle Korver,recovering from surgery on left knee to remove bone spur (DNP)
14406,2009-11-03,Magic,,Mickael Pietrus,flu-like symptoms (DNP)
14407,2009-11-03,Mavericks,,Drew Gooden,strained right rib muscle (DNP)
14408,2009-11-03,Nets,,Jianlian Yi,sprained MCL in right knee (out indefinitely)
14409,2009-11-03,Pacers,,Jeff Foster,placed on IL with sprained right ankle
14410,2009-11-03,Pacers,Travis Diener,,activated from IL
14411,2009-11-03,Pistons,,Tayshaun Prince,placed on IL with back injury
14412,2009-11-03,Pistons,DaJuan Summers,,activated from IL
14413,2009-11-03,Suns,,Leandro Barbosa,placed on IL with sore right wrist
14414,2009-11-03,Suns,Taylor Griffin,,activated from IL
14415,2009-11-03,Wizards,,Paul Davis,placed on IL
14416,2009-11-03,Wizards,Caron Butler,,activated from IL
14417,2009-11-04,Kings,,Donte Greene,placed on IL
14418,2009-11-04,Knicks,,Nate Robinson,sprained right ankle (DNP)
14419,2009-11-04,Magic,,Vince Carter,sprained left ankle (DNP)
14420,2009-11-04,Mavericks,,Drew Gooden,strained right rib muscle (DNP)
14421,2009-11-04,Mavericks,,Quinton Ross,bruised lower back (DNP)
14422,2009-11-04,Nets,,Devin Harris,strained right groin (DNP)
14423,2009-11-04,Nets,,Jianlian Yi,sprained MCL in right knee (DNP)
14424,2009-11-04,Nuggets,,Joey Graham,placed on IL with sprained right big toe
14425,2009-11-04,Nuggets,Johan Petro,,activated from IL
14426,2009-11-04,Pacers,,Troy Murphy,bruised lower back (DNP)
14427,2009-11-04,Raptors,,Sonny Weems,placed on IL with sore left knee
14428,2009-11-04,Raptors,Marcus Banks,,activated from IL
14429,2009-11-04,Rockets,,Chase Budinger,placed on IL with sprained left ankle
14430,2009-11-04,Rockets,Joey Dorsey,,activated from IL
14431,2009-11-04,Warriors,,Ronny Turiaf,sprained left knee (DNP)
14432,2009-11-05,Cavaliers,,Jawad Williams,placed on IL
14433,2009-11-05,Cavaliers,Danny Green,,activated from IL
14434,2009-11-05,Jazz,,Kyle Korver,recovering from surgery on left knee to remove bone spur (DNP)
14435,2009-11-05,Kings,,Kevin Martin,stress fracture in left wrist (out indefinitely)
14436,2009-11-05,Nets,,Chris Douglas-Roberts,flu (DTD)
14437,2009-11-05,Wizards,,Mike Miller,left shoulder injury (DTD)
14438,2009-11-06,Bobcats,,Alex Ajinca,placed on IL
14439,2009-11-06,Bobcats,,DeSagana Diop,placed on IL
14440,2009-11-06,Bobcats,Derrick Brown,,activated from IL
14441,2009-11-06,Bobcats,Flip Murray,,activated from IL
14442,2009-11-06,Bulls,,Tyrus Thomas,broken left forearm (out indefinitely)
14443,2009-11-06,Celtics,,Brian Scalabrine,back spasms (DNP)
14444,2009-11-06,Clippers,,Mardy Collins,placed on IL
14445,2009-11-06,Clippers,Steve Novak,,activated from IL
14446,2009-11-06,Grizzlies,Hamed Haddadi,,activated from IL
14447,2009-11-06,Hornets,,Devin Brown,placed on IL
14448,2009-11-06,Hornets,Marcus Thornton ,,activated from IL
14449,2009-11-06,Knicks,,Nate Robinson,sprained right ankle (DNP)
14450,2009-11-06,Lakers,,Andrew Bynum,strained right elbow (DNP)
14451,2009-11-06,Magic,,Vince Carter,sprained left ankle (DNP)
14452,2009-11-06,Nets,,Chris Douglas-Roberts,flu (DNP)
14453,2009-11-06,Nets,,Devin Harris,strained right groin (DNP)
14454,2009-11-06,Nets,,Jianlian Yi,sprained MCL in right knee (DNP)
14455,2009-11-06,Nuggets,,J.R. Smith,placed on IL with suspension
14456,2009-11-06,Nuggets,Joey Graham,,activated from IL
14457,2009-11-06,Pacers,,Travis Diener,sore left toe (DNP)
14458,2009-11-06,Pacers,,Troy Murphy,placed on IL with back injury
14459,2009-11-06,Pacers,Tyler Hansbrough,,activated from IL
14460,2009-11-06,Raptors,,Marcus Banks,placed on IL
14461,2009-11-06,Raptors,Sonny Weems,,activated from IL
14462,2009-11-06,Rockets,,Joey Dorsey,placed on IL
14463,2009-11-06,Rockets,Chase Budinger,,activated from IL
14464,2009-11-06,Warriors,,Andris Biedrins,strained lower back (DNP)
14465,2009-11-06,Warriors,,Ronny Turiaf,sprained left knee (DNP)
14466,2009-11-06,Wizards,,Mike Miller,placed on IL with left shoulder injury
14467,2009-11-06,Wizards,Paul Davis,,activated from IL
14468,2009-11-07,Bobcats,,Derrick Brown,placed on IL
14469,2009-11-07,Bobcats,Alex Ajinca,,activated from IL
14470,2009-11-07,Jazz,,Kyle Korver,recovering from surgery on left knee to remove bone spur (DNP)
14471,2009-11-07,Kings,,Kevin Martin,placed on IL recovering from surgery on left wrist to repair stress fracture
14472,2009-11-07,Kings,,Omri Casspi,sprained left ankle (DNP)
14473,2009-11-07,Kings,Donte Greene,,activated from IL
14474,2009-11-07,Knicks,,Nate Robinson,sprained right ankle (DNP)
14475,2009-11-07,Mavericks,,Drew Gooden,placed on IL with strained right rib muscle
14476,2009-11-07,Mavericks,Josh Howard,,activated from IL
14477,2009-11-07,Nets,,Chris Douglas-Roberts,flu (DNP)
14478,2009-11-07,Nets,,Courtney Lee,strained left groin (DNP)
14479,2009-11-07,Nets,,Devin Harris,strained right groin (DNP)
14480,2009-11-07,Nets,,Jianlian Yi,sprained MCL in right knee (DNP)
14481,2009-11-07,Nuggets,,Kenyon Martin ,bruised left fibula (DNP)
14482,2009-11-07,Pistons,,Tayshaun Prince,ruptured disc in lower back (out indefinitely)
14483,2009-11-07,Raptors,,Sonny Weems,placed on IL
14484,2009-11-07,Raptors,Marcus Banks,,activated from IL
14485,2009-11-07,Bulls,,Tyrus Thomas,surgery on broken left forearm
14486,2009-11-07,Bulls,,Tyrus Thomas,placed on IL recovering from surgery on broken left forearm
14487,2009-11-08,Hornets,,Morris Peterson,placed on IL
14488,2009-11-08,Hornets,Devin Brown,,activated from IL
14489,2009-11-08,Lakers,,Andrew Bynum,strained right elbow (DNP)
14490,2009-11-08,Magic,,Ryan Anderson,sprained right ankle (DNP)
14491,2009-11-08,Magic,,Vince Carter,sprained left ankle (DNP)
14492,2009-11-08,Spurs,, Tony Parker,sprained left ankle (DTD)
14493,2009-11-08,Suns,,Taylor Griffin,placed on IL
14494,2009-11-08,Suns,Leandro Barbosa,,activated from IL
14495,2009-11-08,Warriors,,Ronny Turiaf,sprained left knee (DNP)
14496,2009-11-09,Clippers,,Eric Gordon,placed on IL with sore left groin
14497,2009-11-09,Clippers,Mardy Collins,,activated from IL
14498,2009-11-09,Jazz,,Kyle Korver,recovering from surgery on left knee to remove bone spur (DNP)
14499,2009-11-09,Kings,,Kevin Martin,surgery on left wrist to repair stress fracture (out indefinitely)
14500,2009-11-09,Knicks,,Nate Robinson,sprained right ankle (DNP)
14501,2009-11-09,Raptors,,Marcus Banks,placed on IL
14502,2009-11-09,Raptors,Sonny Weems,,activated from IL
14503,2009-11-09,Spurs,, Tony Parker,placed on IL with sprained left ankle
14504,2009-11-09,Spurs,,Tim Duncan,placed on IL with sore left ankle
14505,2009-11-09,Spurs,Malik Hairston,,activated from IL
14506,2009-11-09,Spurs,Marcus Haislip,,activated from IL
14507,2009-11-09,Warriors,,Andris Biedrins,strained lower back (DNP)
14508,2009-11-09,Warriors,,Ronny Turiaf,sprained left knee (DNP)
14509,2009-11-09,Wizards,,Mike James ,broken left ring finger (out indefinitely)
14510,2009-11-10,Bobcats,,Alex Ajinca,placed on IL
14511,2009-11-10,Bobcats,DeSagana Diop,,activated from IL
14512,2009-11-10,Grizzlies,,Hasheem Thabeet,broken jaw (out indefinitely)
14513,2009-11-10,Heat,,Yakhouba Diawara,placed on IL
14514,2009-11-10,Heat,Daequan Cook,,activated from IL
14515,2009-11-10,Magic,,Ryan Anderson,sprained right ankle (DNP)
14516,2009-11-10,Mavericks,,Matt Carroll,placed on IL
14517,2009-11-10,Mavericks,Drew Gooden,,activated from IL
14518,2009-11-10,Nuggets,,Johan Petro,placed on IL
14519,2009-11-10,Thunder,,Shaun Livingston,placed on IL
14520,2009-11-10,Thunder,Kyle Weaver,,activated from IL
14521,2009-11-10,Wizards,,Mike James ,broken left ring finger (DNP)
14522,2009-11-10,Nuggets,J.R. Smith,,activated from IL
14523,2009-11-11,Bobcats,,DeSagana Diop,placed on IL
14524,2009-11-11,Bobcats,,Raja Bell,placed on IL with calf injury
14525,2009-11-11,Bobcats,Alex Ajinca,,activated from IL
14526,2009-11-11,Bobcats,Derrick Brown,,activated from IL
14527,2009-11-11,Cavaliers,Coby Karl,,activated from IL
14528,2009-11-11,Celtics,,Brian Scalabrine,placed on IL with back spasms
14529,2009-11-11,Celtics,Henry Walker,,activated from IL
14530,2009-11-11,Grizzlies,,Hasheem Thabeet,broken jaw (DNP)
14531,2009-11-11,Jazz,,Kyle Korver,recovering from surgery on left knee to remove bone spur (DNP)
14532,2009-11-11,Jazz,,Ronnie Price,sprained left big toe (DNP)
14533,2009-11-11,Knicks,,Nate Robinson,sprained right ankle (DNP)
14534,2009-11-11,Magic,,Ryan Anderson,sprained right ankle (DNP)
14535,2009-11-11,Nets,,Chris Douglas-Roberts,flu (DNP)
14536,2009-11-11,Nets,,Courtney Lee,strained left groin (DNP)
14537,2009-11-11,Nets,,Devin Harris,strained right groin (DNP)
14538,2009-11-11,Nets,,Jianlian Yi,sprained MCL in right knee (DNP)
14539,2009-11-11,Nuggets,,Renaldo Balkman,placed on IL
14540,2009-11-11,Nuggets,Johan Petro,,activated from IL
14541,2009-11-11,Warriors,,Andris Biedrins,osteitis pubis (DNP)
14542,2009-11-11,Warriors,,Ronny Turiaf,sprained left knee (DNP)
14543,2009-11-13,Celtics,,Henry Walker,placed on IL
14544,2009-11-13,Celtics,Brian Scalabrine,,activated from IL
14545,2009-11-13,Hornets,,Bobby Brown,placed on IL
14546,2009-11-13,Hornets,Sean Marks,,activated from IL
14547,2009-11-13,Jazz,,Kyle Korver,recovering from surgery on left knee to remove bone spur (DNP)
14548,2009-11-13,Jazz,,Ronnie Price,sprained left big toe (DNP)
14549,2009-11-13,Magic,,Brandon Bass,flu (DNP)
14550,2009-11-13,Magic,,Ryan Anderson,sprained right ankle (DNP)
14551,2009-11-13,Mavericks,,Josh Howard,placed on IL with sore left ankle
14552,2009-11-13,Mavericks,Matt Carroll,,activated from IL
14553,2009-11-13,Nets,,Courtney Lee,strained left groin (DNP)
14554,2009-11-13,Nets,,Devin Harris,strained right groin (DNP)
14555,2009-11-13,Nets,,Jianlian Yi,sprained MCL in right knee (DNP)
14556,2009-11-13,Nuggets,,Anthony Carter,placed on IL with strained left hip
14557,2009-11-13,Nuggets,Renaldo Balkman,,activated from IL
14558,2009-11-13,Timberwolves,Jason Hart,,activated from IL
14559,2009-11-13,Warriors,,Andris Biedrins,osteitis pubis (DNP)
14560,2009-11-13,Warriors,,Ronny Turiaf,sprained left knee (DNP)
14561,2009-11-14,Blazers,,Jerryd Bayless,sprained left ankle (DNP)
14562,2009-11-14,Blazers,,Travis Outlaw,stress fracture in left foot (out indefinitely)
14563,2009-11-14,Bobcats,,Alex Ajinca,placed on IL
14564,2009-11-14,Bobcats,Raja Bell,,activated from IL
14565,2009-11-14,Cavaliers,,Shaquille O'Neal,placed on IL with strained shoulder
14566,2009-11-14,Cavaliers,Jawad Williams,,activated from IL
14567,2009-11-14,Heat,,Jermaine O'Neal,placed on IL with bruised left hip
14568,2009-11-14,Heat,Yakhouba Diawara,,activated from IL
14569,2009-11-14,Hornets,,Chris Paul,placed on IL with sprained left ankle
14570,2009-11-14,Hornets,Bobby Brown,,activated from IL
14571,2009-11-14,Jazz,,Kyle Korver,recovering from surgery on left knee to remove bone spur (DNP)
14572,2009-11-14,Jazz,,Ronnie Price,sprained left big toe (DNP)
14573,2009-11-14,Nets,,Courtney Lee,strained left groin (DNP)
14574,2009-11-14,Nets,,Devin Harris,strained right groin (DNP)
14575,2009-11-14,Nets,,Jianlian Yi,sprained MCL in right knee (DNP)
14576,2009-11-14,Spurs,,Malik Hairston,placed on IL
14577,2009-11-14,Spurs,,Marcus Haislip,placed on IL
14578,2009-11-14,Spurs, Tony Parker,,activated from IL
14579,2009-11-14,Spurs,Tim Duncan,,activated from IL
14580,2009-11-14,Warriors,,Andris Biedrins,osteitis pubis (DNP)
14581,2009-11-14,Warriors,,Ronny Turiaf,sprained left knee (DNP)
14582,2009-11-14,Wizards,,Mike James ,placed on IL with broken left ring finger
14583,2009-11-14,Wizards,,Randy Foye,sprained right ankle (DTD)
14584,2009-11-14,Wizards,Mike Miller,,activated from IL
14585,2009-11-14,Grizzlies,,Jamaal Tinsley,placed on IL
14586,2009-11-15,76ers,,Marreese Speights,partially torn MCL in left knee (out indefinitely)
14587,2009-11-15,Lakers,,Luke Walton,pinched nerve in back (DNP)
14588,2009-11-15,Mavericks,,Erick Dampier,ill (DNP)
14589,2009-11-15,Raptors,,Antoine Wright,placed on IL with sprained left ankle
14590,2009-11-15,Raptors,Marcus Banks,,activated from IL
14591,2009-11-16,Blazers,,Travis Outlaw,stress fracture in left foot (DNP)
14592,2009-11-16,Magic,,Marcin Gortat,flu (DNP)
14593,2009-11-16,Mavericks,,Erick Dampier,ill (DNP)
14594,2009-11-17,Cavaliers,,Anderson Varejao,placed on IL with bruised hip
14595,2009-11-17,Clippers,,Kareem Rush,torn ACL in right knee (out indefinitely)
14596,2009-11-17,Clippers,,Mardy Collins,placed on IL
14597,2009-11-17,Clippers,Brian Skinner,,activated from IL
14598,2009-11-17,Heat,,Yakhouba Diawara,placed on IL
14599,2009-11-17,Heat,Jermaine O'Neal,,activated from IL
14600,2009-11-17,Hornets,,Hilton Armstrong,placed on IL with sprained right shoulder
14601,2009-11-17,Hornets,Morris Peterson,,activated from IL
14602,2009-11-17,Kings,,Andres Nocioni,right hip pointer (DNP)
14603,2009-11-17,Lakers,,Luke Walton,pinched nerve in back (DNP)
14604,2009-11-17,Magic,,Jameer Nelson,arthroscopic surgery on left knee to repair torn meniscus (out indefinitely)
14605,2009-11-17,Nets,,Courtney Lee,strained left groin (DNP)
14606,2009-11-17,Nets,,Devin Harris,strained right groin (DNP)
14607,2009-11-17,Nets,,Eduardo Najera,sore lower back (DNP)
14608,2009-11-17,Nets,,Jianlian Yi,sprained MCL in right knee (DNP)
14609,2009-11-17,Pacers,,Travis Diener,sore left toe (DNP)
14610,2009-11-17,Raptors,,Hedo Turkoglu,placed on IL with sore left hip
14611,2009-11-17,Raptors,,Marcus Banks,placed on IL
14612,2009-11-17,Raptors,Antoine Wright,,activated from IL
14613,2009-11-17,Thunder,,Shaun Livingston,surgery on left knee to remove staples from an earlier surgery (out indefinitely)
14614,2009-11-17,Warriors,,Andris Biedrins,osteitis pubis (DNP)
14615,2009-11-17,Warriors,,C.J. Watson,H1N1 flu (DNP)
14616,2009-11-17,Warriors,,Kelenna Azubuike,torn patellar tendon in left knee (out for season)
14617,2009-11-17,Warriors,,Raja Bell,wrist injury (DNP)
14618,2009-11-18,76ers,,Marreese Speights,placed on IL with partially torn MCL in left knee
14619,2009-11-18,76ers,Primoz Brezec,,activated from IL
14620,2009-11-18,Bobcats,,Acie Law,placed on IL
14621,2009-11-18,Bobcats,Alex Ajinca,,activated from IL
14622,2009-11-18,Bucks,,Luc Mbah a Moute,placed on IL with sprained left foot
14623,2009-11-18,Bucks,Francisco Elson,,activated from IL
14624,2009-11-18,Clippers,Mardy Collins,,activated from IL
14625,2009-11-18,Grizzlies,Jamaal Tinsley,,activated from IL
14626,2009-11-18,Heat,,Udonis Haslem,placed on IL with sore left shoulder
14627,2009-11-18,Heat,Shavlik Randolph,,activated from IL
14628,2009-11-18,Jazz,,Kyle Korver,recovering from surgery on left knee to remove bone spur (DNP)
14629,2009-11-18,Jazz,,Mehmet Okur,flu-like symptoms (DNP)
14630,2009-11-18,Jazz,,Ronnie Price,sprained left big toe (DNP)
14631,2009-11-18,Knicks,,Marcus Landry,placed on IL
14632,2009-11-18,Knicks,Eddy Curry,,activated from IL
14633,2009-11-18,Magic,,Jameer Nelson,recovering from arthroscopic surgery on left knee to repair torn meniscus (DNP)
14634,2009-11-18,Mavericks,,Erick Dampier,placed on IL with illness
14635,2009-11-18,Mavericks,,Shawn Marion,sprained left ankle (DNP)
14636,2009-11-18,Mavericks,Tim Thomas,,activated from IL
14637,2009-11-18,Nets,,Courtney Lee,strained left groin (DNP)
14638,2009-11-18,Nets,,Devin Harris,sprained right groin (DNP)
14639,2009-11-18,Nets,,Eduardo Najera,sore lower back (DNP)
14640,2009-11-18,Nets,,Jianlian Yi,sprained MCL in right knee (DNP)
14641,2009-11-18,Pacers,,Travis Diener,sore left toe (DNP)
14642,2009-11-18,Raptors,,Antoine Wright,placed on IL with left ankle injury
14643,2009-11-18,Raptors,Hedo Turkoglu,,activated from IL
14644,2009-11-18,Spurs,, Tony Parker,placed on IL with sprained left ankle
14645,2009-11-18,Spurs,Malik Hairston,,activated from IL
14646,2009-11-18,Timberwolves,,Jason Hart,placed on IL
14647,2009-11-18,Warriors,,Andris Biedrins,osteitis pubis (DNP)
14648,2009-11-18,Warriors,,C.J. Watson,H1N1 flu (DNP)
14649,2009-11-18,Warriors,,Raja Bell,surgery on left wrist to repair partially torn ligament (date approximate)
14650,2009-11-18,Wizards,,Fabricio Oberto,placed on IL with left hamstring injury
14651,2009-11-18,Wizards,Antawn Jamison,,activated from IL
14652,2009-11-18,Blazers,,Travis Outlaw,surgery on left foot to repair stress fracture (out indefinitely)
14653,2009-11-18,Warriors,,Kelenna Azubuike,surgery on left knee to repair torn patellar tendon
14654,2009-11-18,Blazers,,Travis Outlaw,recovering from surgery on left foot to repair stress fracture (DNP)
14655,2009-11-18,Warriors,,Kelenna Azubuike,recovering from surgery on left knee to repair torn patellar tendon (DNP)
14656,2009-11-19,Bucks,,Andrew Bogut,strained ligament in left calf (DTD)
14657,2009-11-19,Jazz,,Kyle Korver,recovering from surgery on left knee to remove bone spur (DNP)
14658,2009-11-19,Jazz,,Mehmet Okur,flu-like symptoms (DNP)
14659,2009-11-19,Jazz,,Ronnie Price,sprained left big toe (DNP)
14660,2009-11-19,Lakers,,Luke Walton,placed on IL with surgery on back
14661,2009-11-19,Lakers,Pau Gasol,,activated from IL
14662,2009-11-19,Spurs,,Manu Ginobili,placed on IL with strained left groin
14663,2009-11-19,Spurs,Ian Mahinmi,,activated from IL
14664,2009-11-20,Blazers,,Travis Outlaw,recovering from surgery on left foot to repair stress fracture (DNP)
14665,2009-11-20,Bobcats,,Tyson Chandler,placed on IL with back injury
14666,2009-11-20,Bobcats,DeSagana Diop,,activated from IL
14667,2009-11-20,Bucks,,Andrew Bogut,placed on IL with strained ligament in left calf
14668,2009-11-20,Cavaliers,,Coby Karl,placed on IL
14669,2009-11-20,Cavaliers,Anderson Varejao,,activated from IL
14670,2009-11-20,Heat,,Quentin Richardson,placed on IL with sore back
14671,2009-11-20,Heat,Yakhouba Diawara,,activated from IL
14672,2009-11-20,Magic,,Jameer Nelson,recovering from arthroscopic surgery on left knee to repair torn meniscus (DNP)
14673,2009-11-20,Mavericks,,Shawn Marion,sprained left ankle (DNP)
14674,2009-11-20,Nuggets,,Chris Andersen,placed on IL with right knee injury
14675,2009-11-20,Nuggets,Anthony Carter,,activated from IL
14676,2009-11-20,Pacers,Troy Murphy,,activated from IL
14677,2009-11-20,Warriors,,Andris Biedrins,strained lower back (DNP)
14678,2009-11-20,Warriors,,C.J. Watson,H1N1 flu (DNP)
14679,2009-11-20,Warriors,,Kelenna Azubuike,recovering from surgery on left knee to repair torn patellar tendon (DNP)
14680,2009-11-20,Warriors,,Raja Bell,recovering from surgery on left wrist (DNP)
14681,2009-11-20,Warriors,,Ronny Turiaf,sprained left knee (DNP)
14682,2009-11-20,Bucks,Luc Mbah a Moute,,activated from IL
14683,2009-11-20,Pacers,,Travis Diener,surgery on left big toe (out indefinitely)
14684,2009-11-20,Bucks,,Luc Mbah a Moute,strained left foot (DNP)
14685,2009-11-20,Pacers,,Travis Diener,placed on IL recovering from surgery on left big toe
14686,2009-11-21,76ers,,Jason Kapono,sprained left ankle (DNP)
14687,2009-11-21,Blazers,,Travis Outlaw,recovering from surgery on left foot to repair stress fracture (DNP)
14688,2009-11-21,Bucks,,Luc Mbah a Moute,sprained left foot (DNP)
14689,2009-11-21,Hornets,,Sean Marks,placed on IL
14690,2009-11-21,Hornets,Hilton Armstrong,,activated from IL
14691,2009-11-21,Jazz,,Kyle Korver,recovering from surgery on left knee to remove bone spur (DNP)
14692,2009-11-21,Jazz,,Mehmet Okur,flu-like symptoms (DNP)
14693,2009-11-21,Jazz,,Ronnie Price,sprained left big toe (DNP)
14694,2009-11-21,Kings,,Tyreke Evans,sprained finger on right hand (DNP)
14695,2009-11-21,Nets,,Eduardo Najera,sore lower back (DNP)
14696,2009-11-21,Nets,,Jianlian Yi,sprained MCL in right knee (DNP)
14697,2009-11-21,Nuggets,,Johan Petro,placed on IL
14698,2009-11-21,Nuggets,Chris Andersen,,activated from IL
14699,2009-11-21,Spurs,,Ian Mahinmi,placed on IL
14700,2009-11-21,Spurs, Tony Parker,,activated from IL
14701,2009-11-21,Wizards,,Nick Young,placed on IL
14702,2009-11-21,Wizards,Fabricio Oberto,,activated from IL
14703,2009-11-22,Heat,,Jamaal Magloire,placed on IL
14704,2009-11-22,Heat,Udonis Haslem,,activated from IL
14705,2009-11-22,Hornets,,Hilton Armstrong,placed on IL with sprained right shoulder
14706,2009-11-22,Hornets,Sean Marks,,activated from IL
14707,2009-11-22,Knicks,,Jared Jeffries,placed on IL
14708,2009-11-22,Knicks,Marcus Landry,,activated from IL
14709,2009-11-22,Magic,,Jameer Nelson,recovering from arthroscopic surgery on left knee to repair torn meniscus (DNP)
14710,2009-11-22,Pacers,,Josh McRoberts,placed on IL
14711,2009-11-22,Pacers,Jeff Foster,,activated from IL
14712,2009-11-22,Raptors,,Marco Belinelli,placed on IL with left groin injury
14713,2009-11-22,Raptors,Marcus Banks,,activated from IL
14714,2009-11-22,Thunder,,Nick Collison,sore left knee (DNP)
14715,2009-11-22,Thunder,,Shaun Livingston,placed on IL recovering from surgery on left knee to remove staples from an earlier surgery
14716,2009-11-22,Thunder,Ryan Bowen,,activated from IL
14717,2009-11-23,Blazers,,Travis Outlaw,recovering from surgery on left foot to repair stress fracture (DNP)
14718,2009-11-23,Bucks,,Luc Mbah a Moute,placed on IL with sprained left foot
14719,2009-11-23,Bucks,Michael Redd,,activated from IL
14720,2009-11-24,Jazz,,Kyle Korver,recovering from surgery on left knee to remove bone spur (DNP)
14721,2009-11-24,Jazz,,Ronnie Price,sprained left big toe (DNP)
14722,2009-11-24,Knicks,,Marcus Landry,placed on IL
14723,2009-11-24,Knicks,Jared Jeffries,,activated from IL
14724,2009-11-24,Mavericks,,Shawn Marion,sprained left ankle (DNP)
14725,2009-11-24,Nets,,Eduardo Najera,sore lower back (DNP)
14726,2009-11-24,Nets,,Jianlian Yi,sprained MCL in right knee (DNP)
14727,2009-11-24,Raptors,,Marcus Banks,placed on IL
14728,2009-11-24,Raptors,,Patrick O'Bryant,placed on IL
14729,2009-11-24,Raptors,Antoine Wright,,activated from IL
14730,2009-11-24,Raptors,Marco Belinelli,,activated from IL
14731,2009-11-24,Thunder,,Kevin Ollie,knee injury (DTD)
14732,2009-11-24,Thunder,,Nick Collison,placed on IL with sore right knee
14733,2009-11-24,Thunder,Kyle Weaver,,activated from IL
14734,2009-11-24,Warriors,,Andris Biedrins,osteitis pubis (DNP)
14735,2009-11-24,Warriors,,C.J. Watson,H1N1 flu (DNP)
14736,2009-11-24,Warriors,,Corey Maggette,left hamstring injury (DNP)
14737,2009-11-24,Warriors,,Kelenna Azubuike,recovering from surgery on left knee to repair torn patellar tendon (DNP)
14738,2009-11-24,Warriors,,Raja Bell,recovering from surgery on left wrist (DNP)
14739,2009-11-24,Warriors,,Ronny Turiaf,sprained left knee (DNP)
14740,2009-11-24,Wizards,,Caron Butler,sore right ankle (DNP)
14741,2009-11-24,Wizards,,Mike Miller,placed on IL with strained left calf (P) / right calf (CBC)
14742,2009-11-24,Wizards,Nick Young,,activated from IL
14743,2009-11-25,76ers,,Elton Brand,sore right hamstring (DNP)
14744,2009-11-25,76ers,,Lou Williams,fractured jaw (DNP)
14745,2009-11-25,Blazers,,Travis Outlaw,recovering from surgery on left foot to repair stress fracture (DNP)
14746,2009-11-25,Bobcats,,DeSagana Diop,placed on IL
14747,2009-11-25,Bobcats,Acie Law,,activated from IL
14748,2009-11-25,Bobcats,Tyson Chandler,,activated from IL
14749,2009-11-25,Clippers,,DeAndre Jordan,placed on IL with right ankle injury
14750,2009-11-25,Clippers,Eric Gordon,,activated from IL
14751,2009-11-25,Heat,,Shavlik Randolph,placed on IL
14752,2009-11-25,Heat,Jamaal Magloire,,activated from IL
14753,2009-11-25,Kings,,Beno Udrih,virus (DNP)
14754,2009-11-25,Knicks,,Eddy Curry,placed on IL
14755,2009-11-25,Knicks,Marcus Landry,,activated from IL
14756,2009-11-25,Magic,,Jameer Nelson,recovering from arthroscopic surgery on left knee to repair torn meniscus (DNP)
14757,2009-11-25,Mavericks,,Quinton Ross,sore lower back (DNP)
14758,2009-11-25,Nets,,Eduardo Najera,sore lower back (DNP)
14759,2009-11-25,Nets,,Jianlian Yi,sprained MCL in right knee (DNP)
14760,2009-11-25,Pacers,,Danny Granger,placed on IL with sprained MCL in left knee
14761,2009-11-25,Pacers,Josh McRoberts,,activated from IL
14762,2009-11-25,Spurs,,Theo Ratliff,placed on IL
14763,2009-11-25,Spurs,Marcus Haislip,,activated from IL
14764,2009-11-25,Warriors,,Andris Biedrins,osteitis pubis (DNP)
14765,2009-11-25,Warriors,,Kelenna Azubuike,recovering from surgery on left knee to repair torn patellar tendon (DNP)
14766,2009-11-25,Warriors,,Raja Bell,recovering from surgery on left wrist (DNP)
14767,2009-11-25,Warriors,,Ronny Turiaf,sprained left knee (DNP)
14768,2009-11-26,76ers,,Lou Williams,surgery to repair fractured jaw (out indefinitely)
14769,2009-11-26,Bulls,,Kirk Hinrich,placed on IL with sprained left thumb
